URL,Ratings,Reviews,Product Rating,Brand,Price,XS,S,M,L,XL,XXL
https://www.flipkart.com/product/p/itme?pid=DREGDF7HSU4R4GU2,57 ,2 ,3.7,Serein,399,#N/A,#N/A,#N/A,Yes,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGSUSYGWDNZWKG,57 ,3 ,3.8,FashFun,675,Yes,#N/A,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=JUMFZHQ8ZXFPJGBG,55 ,10 ,3.7,Serein,449,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=RUGGWNPGYQFG53VK,56 ,16 ,4.2,FashFun,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=RUGGWNQP2ZVHEZWG,56 ,16 ,4.2,FashFun,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=RUGGTWYM4YFBZATY,56 ,16 ,4.2,FashFun,389,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREG5W4APTHZ9YN5,54 ,7 ,3.2,Serein,499,#N/A,Yes,#N/A,#N/A,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=DREHYUN4RSUY7EHH,54 ,3 ,3.5,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGXM4C8GZ7JGDC,51 ,22 ,4.1,FashFun,499,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGGWZKUDEPCVB9,50 ,1 ,3.4,FashFun,499,Yes,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=JUMGFGG5SFVHHBZR,49 ,3 ,3.7,Serein,449,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=NSTGYN5N27DPFGHY,47 ,7 ,2.9,Serein,499,#N/A,Yes,Yes,#N/A,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTGVGGQRFAZSF2Y,47,1,3.1,FashFun,399,#N/A,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTGWGXQAX6AQMW3,47,12,3.9,FashFun,489,#N/A,#N/A,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=TOPGPZC4ZYPUZP3Z,46 ,4 ,3.5,FashFun,399,#N/A,#N/A,#N/A,#N/A,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGRMFKBPWYPPVW,47 ,13 ,4.1,FashFun,339,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGWJ7C397X678A,47 ,13 ,4.1,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREHFSFFEM9DPRBP,47 ,13 ,4.1,FashFun,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=NSTFZSFEWS4HBZRE,42 ,5 ,3.1,Serein,499,#N/A,#N/A,Yes,#N/A,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=TOPH49YHAGZNXHHU,45 ,6 ,3.2,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=TOPGZ3NKGBHK5HTT,40 ,11 ,4.1,FashFun,399,#N/A,#N/A,#N/A,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=TOPGX6JH2NZASVDC,42 ,1 ,3.4,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=TOPGM2GG5GY8JRQZ,42 ,1 ,3.4,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=TOPGM2BRCYBYQV5H,42 ,1 ,3.4,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=ETHGHUHBUHHXSMPA,38 ,2 ,3.6,FashFun,499,#N/A,#N/A,#N/A,Yes,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=SHTGPZC6YY6YT3ZQ,38 ,2 ,3.8,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=SHTGPZC7JGQXZPYV,38 ,2 ,3.8,FashFun,299,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGXM3RBAZYKHFK,37 ,19 ,4.5,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=KTAGDUU95F5HNDWG,37 ,7 ,3.3,Serein,450,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTHFZNUJ7HXHTWV,38,0,3.2,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGZFDYHCZN7YJG,35,2,3.3,FashFun,399,#N/A,#N/A,#N/A,Yes,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=SHTHYVVXFZTZMJGJ,37 ,2 ,4.2,FashFun,299,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=JUMGK9U7GN9UGG9J,34 ,7 ,3.6,Serein,449,#N/A,Yes,#N/A,#N/A,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTHFSFYPKYJ7NVP,36,3,4.3,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTHFSFYEAGUGGEZ,36,3,4.3,FashFun,489,Yes,Yes,Yes,Yes,Yes,#N/A
