2024-12-28 18:18:27,747 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=DREGDF7GJXD8FVAR: Ratings=270 , Reviews=24 , Product Rating=3.9, Brand=Serein, Price=339, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:28,328 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=DREGS49PENQA9G4D: Ratings=284, Reviews=11, Product Rating=3.7, Brand=FashFun, Price=489, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:28,897 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=DREGJ2M5982GEHQF: Ratings=256 , Reviews=26 , Product Rating=3.9, Brand=FashFun, Price=599, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': '#N/A', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:29,962 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=AZTGWGXQSZHANXSH: Ratings=255, Reviews=28, Product Rating=4, Brand=FashFun, Price=399, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:30,526 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=AZTHFYT7DQRHEG9Y: Ratings=255, Reviews=28, Product Rating=4, Brand=FashFun, Price=399, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:31,135 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=AZTHFYT7SFXJHH2F: Ratings=255, Reviews=28, Product Rating=4, Brand=FashFun, Price=399, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:31,776 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=AZTHFZNUGZD3DXAD: Ratings=255, Reviews=28, Product Rating=4, Brand=FashFun, Price=399, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:32,324 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=AZTH48ZQ2JYWEUVC: Ratings=255, Reviews=28, Product Rating=4, Brand=FashFun, Price=399, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:32,862 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=AZTH53Y8V5HGFKCP: Ratings=255, Reviews=28, Product Rating=4, Brand=FashFun, Price=399, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:33,453 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=AZTH53XCMAKN5HFU: Ratings=255, Reviews=28, Product Rating=4, Brand=FashFun, Price=399, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:34,071 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=AZTH53XCY5NPPTAP: Ratings=255, Reviews=28, Product Rating=4, Brand=FashFun, Price=399, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:34,701 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=AZTH53XC8JTTRHYV: Ratings=255, Reviews=28, Product Rating=4, Brand=FashFun, Price=399, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:35,269 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=AZTH4YKNTXEGRMRH: Ratings=255, Reviews=28, Product Rating=4, Brand=FashFun, Price=399, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:35,935 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=AZTH3J83PP8R5WRH: Ratings=255, Reviews=28, Product Rating=4, Brand=FashFun, Price=399, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:36,513 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=TOPGZTYG5F9PQGAC: Ratings=247 , Reviews=23 , Product Rating=4.1, Brand=FashFun, Price=429, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
